


135,,Classic NES Series: Super Mario Bros.,,Nintendo,Nintendo EAD,N/A,8.3,N/A,2.27m,N/A,N/A,N/A,N/A,02nd Jun 04,N/A
136,,Kirby Squeak Squad,,Nintendo,"HAL Laboratory, Flagship",N/A,7.3,N/A,2.27m,N/A,N/A,N/A,N/A,06th Dec 06,N/A
137,,Sonic Advance,,Sega,Dimps Corporation / Sonic Team,N/A,N/A,N/A,N/A,2.24m,0.71m,0.22m,0.13m,04th Feb 02,N/A
138,,Super Mario All-Stars: Limited Edition    Read the review,,Nintendo,Nintendo EAD,5.5,7.2,N/A,2.24m,N/A,N/A,N/A,N/A,12th Dec 10,N/A
139,,Spyro: Season of Ice,,Vivendi Games,Digital Eclipse,N/A,N/A,N/A,N/A,2.23m,0.83m,N/A,0.11m,29th Oct 01,N/A
140,,Flashback,,U.S. Gold,Delphine Software International,N/A,N/A,N/A,2.20m,N/A,N/A,N/A,N/A,01st Jan 92,31st Mar 21
141,,Wario Land 3,,Nintendo,Nintendo R&D1,N/A,N/A,N/A,2.20m,N/A,N/A,N/A,N/A,01st May 00,N/A
142,,Wario Land 4,,Nintendo,Nintendo R&D1,N/A,N/A,N/A,2.20m,N/A,N/A,N/A,N/A,18th Nov 01,N/A
143,,Skylanders SWAP Force,,Activision,Beenox,N/A,N/A,N/A,N/A,2.19m,0.77m,N/A,0.19m,13th Oct 13,16th Jan 18
144,,Donkey Kong Country,,Nintendo,Rare Ltd.,N/A,9.1,N/A,2.19m,N/A,N/A,N/A,N/A,04th Nov 00,06th Jan 18
145,,Spyro Reignited Trilogy    Read the review,,Activision,Toys for Bob,8.0,N/A,N/A,N/A,2.17m,1.07m,N/A,0.35m,13th Nov 18,08th Apr 18
146,,Scooby-Doo! Night of 100 Frights,,THQ,Heavy Iron Studios,N/A,N/A,N/A,N/A,2.10m,0.72m,N/A,0.22m,20th May 02,N/A
147,,Kirby: Nightmare in Dream Land,,Nintendo,HAL Laboratory,N/A,8.1,N/A,2.10m,N/A,N/A,N/A,N/A,02nd Dec 02,20th Apr 18
148,,LittleBigPlanet 3    Read the review,,Sony Computer Entertainment,Sumo Digital,7.5,N/A,N/A,N/A,2.06m,0.93m,0.01m,0.34m,18th Nov 14,03rd Apr 18
149,,Yoshi's New Island    Read the review,,Nintendo,Arzest,6.8,N/A,N/A,2.05m,N/A,N/A,N/A,N/A,14th Mar 14,01st Feb 18
150,,Donkey Kong Country: Tropical Freeze    Read the review,,Nintendo,Retro Studios,7.4,8.8,9.1,2.02m,N/A,N/A,N/A,N/A,21st Feb 14,22nd Jan 18
151,,Cuphead - The Delicious Last Course,,Studio MDHR,Studio MDHR,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,30th Jun 22,10th Jun 22
152,,Disney Epic Mickey    Read the review,,Disney Interactive Studios,Junction Point Studios,7.3,7.0,N/A,2.00m,N/A,N/A,N/A,N/A,30th Nov 10,N/A
